BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Units,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses 
1009720001,"$134,782,556",$0,"$134,782,556","$499,288",0,"$3,251,614","$303,645","$500,144","$143,046,642","$15,009,093","$69,619,125"
3044350001,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
3044350050,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
3044520001,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
3044520010,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
3044520020,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
3044520040,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
3044520060,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
3044520080,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
3044520085,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
3044520105,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
3044520125,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
3044520135,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
3044520200,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
3044520325,"$71,327,899",$0,"$71,327,899",$0,0,$0,$0,$0,"$77,739,682",$0,"$61,594,238"
4033480021,"$51,248,594",$0,"$51,248,594",$0,0,$0,$0,$0,"$51,248,594","$10,675","$595,105"
