BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
1009720001,"$145,605,335",$0,"$145,605,335","$525,774","$3,365,748","$281,226","$922,972","$154,237,786","$21,169,417","$86,512,788"
1012950001,"$56,695,845","$1,648,341","$58,344,186",$0,$0,$0,$0,"$70,011,081","$961,905","$17,467,329"
1009780001,"$45,498,903",$0,"$45,498,903","$263,265","$531,965","$64,775","$252,926","$47,788,401","$10,951,589","$30,616,787"
1011710063,"$23,413,910",$0,"$23,413,910",$0,"$437,347",$0,$0,"$25,435,786","$7,564","$7,293,288"
1010890001,"$22,023,952",$0,"$22,023,952",$0,"$210,287",$0,$0,"$23,720,690","$119,925","$9,229,177"
1010680003,"$21,285,486",$0,"$21,285,486","$1,664,728","$1,088,586","$243,000",$0,"$25,906,784","$87,013","$6,184,797"
1013760001,"$18,076,191",$0,"$18,076,191","$3,577,105",$0,$0,$0,"$22,275,930","$87,581","$5,490,918"
1001260027,"$16,971,798",$0,"$16,971,798","$1,015,889",$0,$0,$0,"$19,186,452","$424,711","$5,171,593"
1013100001,"$16,884,120","$1,484,891","$18,369,011",$0,$0,$0,$0,"$25,877,032","$1,219,788","$9,640,134"
1011710062,"$16,412,002",$0,"$16,412,002",$0,"$1,340,965",$0,$0,"$18,919,645","$16,147","$5,494,203"
4031750001,"$15,728,641","$6,873,030","$22,601,671","$694,441",$0,$0,$0,"$25,120,648","$741,472","$11,991,235"
1008350001,"$15,487,187",$0,"$15,487,187","$10,294,215",$0,"$150,867",$0,"$26,894,660","$1,394,447","$8,191,935"
1014200001,"$14,698,791","$5,676,116","$20,374,907",$0,"$2,729,284",$0,$0,"$24,356,558",$0,"$7,683,247"
1008580008,"$14,542,468",$0,"$14,542,468",$0,$0,$0,$0,"$15,423,456","$15,096","$3,906,504"
1008280001,"$13,958,033",$0,"$13,958,033","$807,718","$1,169,838",$0,$0,"$17,107,627","$142,613","$3,800,896"
1000160200,"$13,673,385",$0,"$13,673,385",$0,"$39,811",$0,$0,"$14,749,298","$23,709","$4,098,380"
1016240033,"$13,455,034",$0,"$13,455,034",$0,"$167,668",$0,"$20,874","$15,085,135","$9,057","$6,312,475"
1001510001,"$13,078,364",$0,"$13,078,364",$0,"$359,370",$0,$0,"$14,145,322","$51,023","$5,004,532"
1010190001,"$12,958,617",$0,"$12,958,617",$0,"$1,849,517",$0,$0,"$15,606,314",$0,"$4,071,499"
1002530001,"$12,717,559",$0,"$12,717,559","$358,089",$0,$0,"$1,003,603","$14,692,917",$0,"$11,821,120"
1000160205,"$12,481,348",$0,"$12,481,348",$0,"$24,211",$0,$0,"$12,670,760",$0,"$6,139,020"
1000690018,"$12,470,184",$0,"$12,470,184",$0,"$3,300",$0,$0,"$12,822,881","$25,387","$5,901,833"
1010250001,"$12,259,491",$0,"$12,259,491",$0,"$1,185,567",$0,$0,"$15,233,055","$89,995","$3,804,520"
3013020001,"$11,814,654",$0,"$11,814,654",$0,$0,$0,"$872,419","$12,858,029",$0,"$7,964,786"
1000160210,"$11,566,344",$0,"$11,566,344",$0,"$33,774",$0,$0,"$11,905,495","$1,245","$2,596,085"
1014550013,"$10,818,414",$0,"$10,818,414",$0,$0,$0,$0,"$11,230,714","$36,018","$3,683,195"
1015630004,"$10,795,954",$0,"$10,795,954",$0,"$330,071",$0,$0,"$11,551,734","$5,405","$4,205,497"
1010840025,"$10,544,931",$0,"$10,544,931",$0,"$2,498,700",$0,"$57,000","$13,768,233","$159,469","$3,943,602"
1012980041,"$10,431,241",$0,"$10,431,241",$0,"$402,300",$0,$0,"$11,081,931","$158,158","$2,959,762"
1006950015,"$10,385,943",$0,"$10,385,943",$0,"$1,017,848",$0,"$108,349","$11,613,498","$155,504","$3,412,876"
1008020036,"$10,291,786",$0,"$10,291,786","$1,200","$793,613",$0,$0,"$11,282,143","$192,515","$2,673,846"
1011189001,"$9,960,573",$0,"$9,960,573",$0,"$324,644","$438,316",$0,"$11,591,094","$22,617","$3,261,491"
1005659021,"$9,825,658",$0,"$9,825,658",$0,$0,$0,$0,"$9,926,279",$0,"$2,650,427"
1001700020,"$9,561,089",$0,"$9,561,089",$0,"$959,283",$0,$0,"$11,945,027",$0,"$3,598,737"
1007210007,"$9,183,120","$12,545,841","$21,728,961","$1,030,710",$0,"$24,000","$148,805","$24,069,072",$0,"$11,046,751"
1015310029,"$9,098,800",$0,"$9,098,800",$0,"$2,480,801",$0,$0,"$12,451,050",$0,"$2,613,528"
1010300058,"$9,027,819",$0,"$9,027,819","$280,460","$1,204,254",$0,$0,"$10,512,533","$201,169","$5,024,989"
1000170029,"$8,999,691",$0,"$8,999,691",$0,"$95,594",$0,$0,"$9,981,246","$386,507","$5,214,629"
1007950001,"$8,826,291",$0,"$8,826,291",$0,"$1,032,548",$0,"$76,500","$10,310,624","$57,744","$2,821,704"
1009070025,"$8,789,128",$0,"$8,789,128",$0,"$400,027",$0,$0,"$9,536,821",$0,"$2,552,362"
1015490001,"$8,744,241","$4,903,036","$13,647,277",$0,"$1,935,851",$0,$0,"$16,968,369","$724,201","$6,453,210"
1011700001,"$8,399,472",$0,"$8,399,472","$276,589","$2,688,264","$48,000",$0,"$12,179,417","$319,193","$5,784,790"
1009440045,"$8,289,905",$0,"$8,289,905",$0,"$599,391",$0,$0,"$9,042,706","$41,759","$2,898,723"
4076720002,"$8,281,204","$508,428","$8,789,632",$0,$0,$0,$0,"$9,196,633",$0,"$3,481,151"
1012200001,"$8,137,221",$0,"$8,137,221",$0,"$285,983",$0,"$6,725","$9,123,588","$16,095","$2,678,402"
1010480020,"$8,119,439",$0,"$8,119,439","$4,215,448","$1,548,634","$128,913",$0,"$15,452,889","$204,353","$4,430,525"
1008010034,"$7,931,258",$0,"$7,931,258",$0,"$758,840",$0,$0,"$9,014,354","$44,019","$1,754,665"
1007901102,"$7,783,529",$0,"$7,783,529",$0,$0,$0,$0,"$7,850,195",$0,"$2,385,987"
1007750044,"$7,597,273",$0,"$7,597,273",$0,"$1,083,659",$0,$0,"$8,854,532","$33,179","$2,122,914"
1008210041,"$7,448,812","$1,401,731","$8,850,543",$0,$0,$0,$0,"$10,397,826","$744,746","$3,205,546"
1015520023,"$7,220,262",$0,"$7,220,262",$0,"$299,987",$0,$0,"$7,567,075",$0,"$2,132,535"
1010511003,"$7,045,656",$0,"$7,045,656",$0,$0,$0,$0,"$7,092,597",$0,"$2,318,081"
1014269035,"$6,649,527",$0,"$6,649,527",$0,$0,$0,$0,"$6,688,727",$0,"$1,990,825"
1015440030,"$6,457,842",$0,"$6,457,842",$0,"$1,566,619",$0,$0,"$8,535,969","$124,563","$1,991,718"
1005210045,"$6,231,899",$0,"$6,231,899",$0,$0,$0,$0,"$6,502,214","$40,995","$1,308,774"
1014230010,"$6,172,144","$15,976,204","$22,148,348",$0,"$1,256,062",$0,"$30,468","$23,809,885","$40,310","$10,337,382"
4156100001,"$6,003,563",$0,"$6,003,563","$90,164","$35,868",$0,$0,"$6,294,952",$0,"$5,243,151"
1000760009,"$5,844,162",$0,"$5,844,162",$0,"$90,596",$0,$0,"$6,162,466","$3,398","$832,488"
2036000004,"$5,795,334",$0,"$5,795,334",$0,"$599,245",$0,"$2,290,028","$9,459,362","$12,906","$8,341,324"
1000550014,"$5,686,768",$0,"$5,686,768",$0,$0,$0,$0,"$5,686,768",$0,"$2,111,459"
1010230061,"$5,676,191",$0,"$5,676,191",$0,"$321,676",$0,$0,"$6,060,517","$17,832","$1,618,754"
1000160020,"$5,581,832",$0,"$5,581,832",$0,$0,$0,$0,"$5,875,970",$0,"$1,765,347"
1000901002,"$5,449,561",$0,"$5,449,561",$0,$0,$0,$0,"$5,526,605","$120,743","$1,109,407"
1014910004,"$5,401,783",$0,"$5,401,783","$100,552",$0,"$52,612",$0,"$5,570,647","$1,120","$2,166,973"
1009280031,"$5,233,689",$0,"$5,233,689",$0,"$477,813",$0,$0,"$5,738,347",$0,"$1,368,682"
1009390028,"$5,146,444",$0,"$5,146,444",$0,"$1,161,065","$2,285,692",$0,"$8,814,493","$84,761","$1,601,996"
1015530027,"$5,107,005",$0,"$5,107,005","$510,000",$0,$0,$0,"$5,617,005",$0,"$1,432,195"
4015530001,"$4,947,213",$0,"$4,947,213",$0,$0,$0,$0,"$5,102,826",$0,"$3,289,218"
1015460023,"$4,876,332",$0,"$4,876,332","$18,000",$0,$0,$0,"$5,366,893",$0,"$1,698,667"
1015610021,"$4,854,775","$4,676,799","$9,531,574",$0,$0,$0,$0,"$10,194,490","$63,836","$4,694,774"
3036280001,"$4,844,840",$0,"$4,844,840",$0,$0,$0,$0,"$4,844,840",$0,"$6,082,508"
1014910027,"$4,811,666",$0,"$4,811,666","$108,000",$0,$0,$0,"$4,919,666",$0,"$1,281,540"
4020860040,"$4,651,560","$56,400","$4,707,960",$0,$0,$0,$0,"$4,788,877",$0,"$2,311,034"
1016240015,"$4,643,398",$0,"$4,643,398",$0,"$582,278",$0,$0,"$5,345,524",$0,"$1,685,159"
1001700001,"$4,634,095",$0,"$4,634,095",$0,"$503,052",$0,$0,"$5,849,914","$43,340","$1,317,588"
1015140039,"$4,633,823","$5,285,677","$9,919,500","$319,786","$1,082,888",$0,$0,"$11,858,647","$41,560","$4,724,257"
4001170001,"$4,628,410",$0,"$4,628,410",$0,$0,$0,"$46,842","$4,752,703",$0,"$2,854,416"
1010640036,"$4,545,889",$0,"$4,545,889",$0,"$337,625",$0,$0,"$4,961,490","$48,648","$1,536,971"
1016120001,"$4,527,577",$0,"$4,527,577",$0,"$327,845",$0,"$1,188,824","$6,637,942",$0,"$4,273,846"
4051370005,"$4,327,705",$0,"$4,327,705","$92,718",$0,$0,"$19,363","$4,768,385",$0,"$1,919,796"
4051370102,"$4,294,500",$0,"$4,294,500","$109,629",$0,$0,"$23,759","$4,818,562",$0,"$1,950,743"
1014380049,"$4,290,752",$0,"$4,290,752",$0,"$510,405",$0,$0,"$4,967,308","$156,991","$1,559,781"
1017600001,"$4,252,226",$0,"$4,252,226",$0,$0,$0,"$32,861","$4,304,587",$0,"$3,228,363"
1017600101,"$4,252,226",$0,"$4,252,226",$0,$0,$0,"$32,861","$4,304,587",$0,"$3,228,363"
1014180021,"$4,233,289","$10,857,329","$15,090,618",$0,"$1,701,229",$0,$0,"$17,822,163","$18,502","$5,054,971"
4014900018,"$4,205,566",$0,"$4,205,566",$0,$0,$0,$0,"$4,304,122","$113,113","$2,281,908"
1011580033,"$4,163,595",$0,"$4,163,595",$0,"$923,862",$0,"$1,167","$5,395,811",$0,"$3,940,188"
1010450029,"$4,087,221","$1,351,214","$5,438,435",$0,"$1,442,545",$0,$0,"$7,200,618",$0,"$2,585,750"
1008630044,"$4,085,673","$1,957,623","$6,043,296","$542,666","$1,216,492",$0,$0,"$8,475,468","$98,757","$3,555,966"
1006410017,"$4,065,789",$0,"$4,065,789",$0,$0,$0,$0,"$4,149,561",$0,"$956,806"
2036680001,"$4,039,945",$0,"$4,039,945","$7,008",$0,$0,$0,"$4,169,238",$0,"$2,701,740"
1012210001,"$4,039,588","$655,118","$4,694,706",$0,"$33,434",$0,$0,"$4,925,842",$0,"$2,075,042"
1014170035,"$3,938,358",$0,"$3,938,358","$371,517",$0,$0,"$2,445","$4,399,320",$0,"$3,480,560"
3021860001,"$3,906,385",$0,"$3,906,385",$0,"$309,852",$0,"$3,959,843","$8,397,837",$0,"$6,524,870"
3069790200,"$3,906,170",$0,"$3,906,170",$0,"$131,205",$0,"$999,823","$5,197,959",$0,"$3,395,549"
1015690046,"$3,899,617",$0,"$3,899,617",$0,"$282,930",$0,$0,"$4,260,003","$155,877","$1,612,954"
3069790100,"$3,857,936",$0,"$3,857,936",$0,"$153,779",$0,"$977,174","$5,141,494",$0,"$3,644,351"
3064670012,"$3,824,768","$29,296","$3,854,064",$0,$0,$0,"$699,979","$4,786,936",$0,"$2,067,083"
1014970009,"$3,737,847","$4,244,277","$7,982,124","$582,100","$2,353,200",$0,$0,"$11,507,796","$57,160","$3,250,493"
4022810001,"$3,723,402",$0,"$3,723,402",$0,$0,$0,$0,"$3,745,988","$6,258","$2,662,893"
1016240045,"$3,695,546",$0,"$3,695,546",$0,"$279,996",$0,$0,"$4,664,898",$0,"$1,354,982"
1001400005,"$3,671,244",$0,"$3,671,244",$0,"$230,011",$0,$0,"$4,228,869","$33,132","$1,310,267"
1013360040,"$3,661,614","$2,012,126","$5,673,740","$51,225","$206,199",$0,$0,"$6,077,471",$0,"$2,265,878"
1007750046,"$3,656,634",$0,"$3,656,634",$0,"$332,017",$0,$0,"$4,383,916","$10,147","$1,016,521"
1009000027,"$3,646,519","$982,194","$4,628,713",$0,$0,"$301,062","$15,888","$5,003,940",$0,"$2,423,345"
1013660001,"$3,643,219","$2,840,454","$6,483,673","$30,000","$410,342",$0,"$19,905","$7,057,929","$32,690","$3,652,712"
4105930002,"$3,637,484",$0,"$3,637,484",$0,$0,$0,"$143,475","$3,981,425",$0,"$2,451,598"
1012000019,"$3,614,140",$0,"$3,614,140","$478,530",$0,$0,"$6,134","$4,158,148","$186,942","$1,445,395"
1008960048,"$3,594,030",$0,"$3,594,030","$60,266","$694,037",$0,$0,"$4,450,891",$0,"$1,839,732"
4031550027,"$3,500,958",$0,"$3,500,958",$0,"$24,773",$0,"$15,025","$3,759,417","$68,461","$2,013,063"
1018710052,"$3,488,461",$0,"$3,488,461",$0,$0,$0,$0,"$3,488,461",$0,"$1,457,048"
4051370012,"$3,463,362",$0,"$3,463,362",$0,$0,$0,"$17,078","$3,620,529",$0,"$1,595,150"
1002460001,"$3,460,620",$0,"$3,460,620",$0,$0,$0,"$1,767,059","$5,466,765",$0,"$1,897,332"
1015370022,"$3,434,543",$0,"$3,434,543","$146,449","$183,145",$0,"$1,446,480","$5,633,541","$7,705","$4,778,893"
4022900001,"$3,429,949",$0,"$3,429,949",$0,$0,$0,$0,"$3,469,962","$6,258","$2,662,893"
5000130008,"$3,423,097",$0,"$3,423,097",$0,$0,$0,"$988,738","$4,654,459",$0,"$3,524,347"
1013370006,"$3,419,771","$1,648,670","$5,068,441","$68,060","$53,250",$0,$0,"$5,223,765",$0,"$2,225,987"
4097190002,"$3,414,969",$0,"$3,414,969","$29,774","$155,090",$0,"$8,961","$3,627,148",$0,"$2,367,528"
1011700012,"$3,396,723",$0,"$3,396,723","$1,471,320",$0,$0,$0,"$4,965,497",$0,"$1,743,155"
1010670012,"$3,389,279","$641,100","$4,030,379",$0,$0,$0,$0,"$4,261,600",$0,"$1,967,933"
4051370084,"$3,379,040",$0,"$3,379,040","$22,246",$0,$0,"$13,525","$3,558,013",$0,"$1,619,525"
4051370093,"$3,373,666",$0,"$3,373,666","$33,924",$0,$0,"$12,140","$3,546,073",$0,"$1,503,163"
4014910021,"$3,313,979",$0,"$3,313,979",$0,$0,"$48,592",$0,"$3,406,821","$96,026","$1,802,127"
1015240001,"$3,299,508",$0,"$3,299,508","$315,375",$0,$0,$0,"$3,614,883",$0,"$1,400,531"
4021170001,"$3,298,984",$0,"$3,298,984","$36,000",$0,$0,$0,"$3,483,565",$0,"$1,996,742"
1006390001,"$3,284,207",$0,"$3,284,207",$0,"$1,439,159",$0,$0,"$4,871,201",$0,"$3,755,850"
1010390054,"$3,245,963",$0,"$3,245,963",$0,"$218,422",$0,$0,"$3,464,385","$18,646","$1,596,517"
1013020033,"$3,191,964","$3,096,320","$6,288,284",$0,"$1,510,511",$0,$0,"$8,017,726","$34,536","$2,685,527"
1012180001,"$3,190,931",$0,"$3,190,931",$0,"$694,217",$0,"$4,107,098","$8,103,712",$0,"$2,736,413"
1005330001,"$3,119,009",$0,"$3,119,009","$156,042",$0,"$11,879,202",$0,"$18,001,459",$0,"$9,034,160"
1011580038,"$3,103,700",$0,"$3,103,700","$137,076",$0,$0,$0,"$3,240,776",$0,"$1,081,553"
1009440001,"$3,102,217",$0,"$3,102,217",$0,"$121,481",$0,$0,"$3,223,698",$0,"$955,908"
1014220048,"$3,074,087","$3,539,309","$6,613,396",$0,"$991,097",$0,$0,"$7,737,659",$0,"$2,704,285"
1008720035,"$3,062,867","$620,715","$3,683,582","$62,850","$700,960",$0,$0,"$4,718,540",$0,"$1,579,997"
1008880024,"$3,006,497",$0,"$3,006,497",$0,$0,$0,$0,"$3,444,666","$124,704","$1,529,926"
1008160042,"$3,004,871","$266,966","$3,271,837","$97,600",$0,$0,$0,"$3,671,280",$0,"$1,468,030"
1013400001,"$2,967,474","$2,401,536","$5,369,010",$0,"$1,212,658",$0,$0,"$7,078,106","$258,348","$2,174,368"
1008160007,"$2,938,369","$1,142,699","$4,081,068",$0,"$320,192",$0,$0,"$4,877,891","$9,149","$2,605,366"
1007450031,"$2,934,831",$0,"$2,934,831",$0,"$188,696",$0,$0,"$3,143,029",$0,"$894,639"
1007450032,"$2,934,831",$0,"$2,934,831",$0,"$188,696",$0,$0,"$3,143,029",$0,"$894,639"
1007451302,"$2,934,831",$0,"$2,934,831",$0,"$188,696",$0,$0,"$3,143,029",$0,"$894,639"
1011680010,"$2,909,558",$0,"$2,909,558",$0,"$1,193,113",$0,$0,"$4,102,671",$0,"$1,230,198"
1005080025,"$2,903,011",$0,"$2,903,011",$0,$0,$0,$0,"$3,003,653","$30,118","$958,345"
1005560001,"$2,883,732",$0,"$2,883,732",$0,"$370,442",$0,$0,"$3,312,688",$0,"$1,528,879"
2036420001,"$2,868,537",$0,"$2,868,537",$0,"$28,498",$0,"$265,053","$3,258,613",$0,"$2,900,936"
4021020001,"$2,852,928",$0,"$2,852,928",$0,$0,$0,"$925,945","$3,808,047",$0,"$2,426,895"
1014210005,"$2,818,125","$889,545","$3,707,670",$0,"$257,042",$0,$0,"$3,996,491","$33,202","$1,761,590"
5039830001,"$2,803,794","$20,434","$2,824,228","$20,400",$0,$0,"$640,028","$3,687,630",$0,"$2,072,267"
2041610001,"$2,789,635",$0,"$2,789,635",$0,$0,$0,"$148,126","$3,188,955","$3,250","$2,002,883"
1015680001,"$2,777,712","$1,226,715","$4,004,427",$0,"$400,005",$0,$0,"$4,606,807",$0,"$1,912,169"
5039830045,"$2,769,401","$10,233","$2,779,634",$0,$0,$0,"$629,922","$3,609,325",$0,"$2,056,931"
4022480099,"$2,753,622",$0,"$2,753,622",$0,$0,$0,$0,"$3,891,875",$0,"$2,693,674"
1005480001,"$2,742,391","$2,694,344","$5,436,735",$0,"$709,543",$0,"$22,255","$6,236,824","$3,091","$2,761,887"
1013680001,"$2,729,731","$3,344,822","$6,074,553",$0,"$1,209,998",$0,"$47,090","$7,575,259","$7,790","$3,007,788"
4105900100,"$2,728,114",$0,"$2,728,114",$0,$0,$0,"$107,606","$2,986,070",$0,"$1,838,699"
1010450012,"$2,723,812",$0,"$2,723,812",$0,$0,$0,$0,"$2,771,798",$0,"$560,320"
1012360037,"$2,717,521",$0,"$2,717,521",$0,$0,$0,$0,"$2,888,409","$70,781","$1,019,568"
1011640005,"$2,702,067","$1,524,250","$4,226,317","$69,610","$601,985",$0,$0,"$4,938,810","$15,690","$1,581,238"
4161770055,"$2,668,114",$0,"$2,668,114",$0,$0,$0,$0,"$2,761,154",$0,"$1,134,874"
1013490049,"$2,659,027","$1,607,354","$4,266,381",$0,"$529,000",$0,"$5,626","$4,856,103","$1,808","$2,669,955"
1004450014,"$2,657,430","$64,845","$2,722,275",$0,"$173,935",$0,$0,"$2,991,939","$9,700","$401,266"
1014900001,"$2,640,291",$0,"$2,640,291",$0,"$526,619",$0,$0,"$3,177,983","$1,301","$1,136,583"
4161770035,"$2,611,728",$0,"$2,611,728",$0,$0,$0,$0,"$2,716,366",$0,"$1,214,064"
4097120102,"$2,609,459",$0,"$2,609,459",$0,$0,"$11,435",$0,"$2,697,186",$0,"$1,530,904"
1012370033,"$2,602,021",$0,"$2,602,021","$239,187",$0,$0,$0,"$2,954,814",$0,"$1,537,118"
5021650170,"$2,596,409",$0,"$2,596,409",$0,$0,$0,$0,"$3,038,758","$215,993","$1,111,403"
4161770001,"$2,585,828",$0,"$2,585,828",$0,$0,$0,$0,"$2,688,436",$0,"$1,297,146"
1010740015,"$2,580,936",$0,"$2,580,936",$0,$0,$0,$0,"$2,580,936",$0,"$87,117"
1015770008,"$2,580,233",$0,"$2,580,233",$0,"$72,000",$0,$0,"$2,655,824","$86,783","$1,373,096"
4096310241,"$2,571,595",$0,"$2,571,595","$1,026,851",$0,$0,$0,"$4,264,021","$50,870","$1,992,456"
1009000001,"$2,571,285",$0,"$2,571,285","$731,112",$0,"$19,574",$0,"$3,379,093","$11,950","$1,245,030"
2043470007,"$2,570,879",$0,"$2,570,879",$0,$0,$0,$0,"$2,648,744",$0,"$1,708,282"
1011480001,"$2,570,722",$0,"$2,570,722",$0,$0,$0,$0,"$2,570,722","$47,142","$1,088,864"
