BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
1009720001,"$159,771,131","$548,834","$160,319,965","$3,461,090",$0,"$256,402","$617,244","$175,684,134","$21,331,191","$100,695,366"
4106680001,"$143,311,000",$0,"$143,311,000",$0,$0,$0,$0,"$151,720,700",$0,"$81,404,700"
4050250001,"$142,486,600",$0,"$142,486,600",$0,$0,$0,$0,"$149,534,600",$0,"$66,134,000"
4050260024,"$83,849,800",$0,"$83,849,800",$0,$0,$0,"$607,200","$88,481,400",$0,"$34,414,200"
4050050015,"$61,202,486",$0,"$61,202,486",$0,$0,$0,"$1,692,454","$62,894,940","$4,911,940","$44,827,121"
4104610057,"$58,616,600",$0,"$58,616,600",$0,$0,$0,$0,"$58,686,600",$0,"$40,214,800"
1009780001,"$51,475,878","$269,696","$51,745,574","$703,645",$0,"$68,609","$185,481","$54,429,389","$10,723,991","$34,116,504"
4071150002,"$47,010,088",$0,"$47,010,088",$0,$0,$0,$0,"$50,047,154",$0,$0
4088230026,"$43,563,875",$0,"$43,563,875",$0,$0,$0,$0,"$43,563,875","$438,600","$35,692,670"
4050230030,"$38,738,880",$0,"$38,738,880",$0,$0,$0,$0,"$38,738,880",$0,"$25,610,121"
4088840023,"$27,561,200",$0,"$27,561,200",$0,$0,$0,$0,"$27,573,562",$0,"$115,356"
1010890001,"$24,564,205",$0,"$24,564,205",$0,"$485,379",$0,$0,"$26,516,847","$117,674","$9,564,029"
1010680003,"$22,516,059",$0,"$22,516,059","$1,664,728","$1,101,673","$243,000",$0,"$27,296,953","$87,013","$6,644,967"
1000690018,"$21,840,602",$0,"$21,840,602",$0,"$374,272",$0,$0,"$22,940,917","$39,104","$5,165,337"
1020019005,"$19,152,612",$0,"$19,152,612",$0,"$209,588",$0,$0,"$19,896,223","$93,396","$10,909,816"
1008240011,"$18,040,037",$0,"$18,040,037","$9,000","$4,224,636","$1,600,000",$0,"$25,604,284",$0,"$5,310,696"
1011710062,"$17,706,614",$0,"$17,706,614",$0,"$1,404,525",$0,$0,"$20,306,367","$15,515","$5,096,039"
1010210001,"$16,611,750",$0,"$16,611,750",$0,"$2,679,105",$0,$0,"$20,533,030",$0,"$4,887,452"
4031750001,"$15,992,592","$8,054,175","$24,046,767","$707,011",$0,$0,$0,"$26,595,320","$741,472","$11,917,358"
1008580008,"$15,509,005",$0,"$15,509,005",$0,$0,$0,$0,"$16,454,042","$14,614","$4,046,801"
1000160200,"$14,903,074",$0,"$14,903,074",$0,"$45,783",$0,$766,"$15,962,700","$34,901","$4,664,548"
4050060022,"$14,764,944","$1,320,000","$16,084,944",$0,"$1,279,505",$0,$0,"$17,364,449","$4,361,300","$18,162,048"
1016240033,"$14,704,413",$0,"$14,704,413",$0,"$153,745",$0,"$14,790","$16,221,310","$9,970","$6,241,601"
1008280001,"$14,656,008",$0,"$14,656,008","$1,370,805","$1,199,048",$0,$0,"$18,499,200","$358,412","$4,845,818"
1016940001,"$14,182,673",$0,"$14,182,673",$0,"$263,655",$0,$0,"$14,935,757","$64,898","$8,548,958"
1001510001,"$14,056,488",$0,"$14,056,488",$0,"$359,370",$0,$0,"$15,185,169","$51,023","$4,861,113"
1002530001,"$12,890,581",$0,"$12,890,581",$0,"$377,122",$0,"$887,008","$14,813,377",$0,"$11,537,165"
1010250001,"$12,320,207",$0,"$12,320,207",$0,"$1,279,567",$0,$0,"$15,717,139","$24,035","$4,038,304"
1007570022,"$12,161,483",$0,"$12,161,483",$0,"$8,050,668",$0,$0,"$23,110,609","$46,975","$5,002,155"
3013020001,"$12,127,158",$0,"$12,127,158",$0,$0,$0,"$865,375","$13,190,143",$0,"$8,077,969"
1000160210,"$11,836,963",$0,"$11,836,963",$0,"$34,881",$0,$0,"$12,092,144","$1,245","$2,845,674"
1012980041,"$11,523,646",$0,"$11,523,646",$0,"$419,400",$0,$0,"$12,160,736","$163,715","$3,140,622"
1014550013,"$11,508,609",$0,"$11,508,609",$0,$0,$0,$0,"$12,150,976","$10,424","$3,962,572"
4010270050,"$11,456,741","$52,282","$11,509,023",$0,$0,$0,$0,"$15,036,216","$1,050,664","$7,053,914"
1010840025,"$11,431,640",$0,"$11,431,640",$0,"$2,477,465",$0,"$64,675","$14,621,315","$152,915","$4,303,572"
1015630004,"$11,245,236",$0,"$11,245,236",$0,"$348,478",$0,$0,"$12,066,258","$2,690","$4,065,201"
1006950015,"$10,954,362",$0,"$10,954,362",$0,"$1,042,807",$0,"$97,961","$12,240,556","$126,625","$3,647,272"
