BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1, Total Expenses 
4071150002,"$40,093,780","$11,007,138","$51,100,918",$0,$0,$0,$0,"$55,050,537",$0," $ 23,442,239 "
1011710063,"$27,620,178",$0,"$27,620,178",$0,"$587,142",$0,$0,"$29,955,728","$4,704"," $ 9,847,797 "
1010890001,"$25,230,737",$0,"$25,230,737",$0,"$308,270",$0,$0,"$27,018,817","$237,473"," $ 10,913,871 "
1010680003,"$24,951,495",$0,"$24,951,495","$1,821,608","$1,209,281","$327,766",$0,"$30,533,235","$81,963"," $ 7,307,138 "
1021560039,"$24,527,841",$0,"$24,527,841",$0,$0,$0,$0,"$24,527,841",$0," $ 161,845 "
1013760001,"$22,111,188",$0,"$22,111,188","$3,842,023",$0,$0,$0,"$26,611,611","$79,161"," $ 5,539,817 "
1008240011,"$20,265,197",$0,"$20,265,197","$9,000","$4,947,365","$1,760,000",$0,"$28,201,747","$39,635"," $ 6,245,380 "
1011710062,"$19,771,733",$0,"$19,771,733",$0,"$1,224,588",$0,$0,"$22,060,612","$2,094"," $ 6,522,058 "
1010210001,"$19,031,403",$0,"$19,031,403",$0,"$2,600,592",$0,$0,"$23,050,254",$0," $ 6,227,156 "
1013100001,"$18,295,370","$1,960,586","$20,255,956",$0,$0,$0,$0,"$30,449,866","$759,833"," $ 10,085,776 "
1009340001,"$16,502,561",$0,"$16,502,561","$816,728",$0,$0,"$10,721,183","$29,678,898","$30,206"," $ 12,955,628 "
1016240033,"$16,384,907",$0,"$16,384,907",$0,"$151,800",$0,"$52,039","$17,956,050","$5,129"," $ 7,372,511 "
1000160200,"$16,170,896",$0,"$16,170,896",$0,"$34,296",$0,"$10,862","$17,254,106",$0," $ 5,397,808 "
2031820016,"$16,159,624",$0,"$16,159,624",$0,$0,$0,$0,"$16,159,624",$0," $ 219,779 "
1008280001,"$16,106,744",$0,"$16,106,744","$1,819,713","$1,270,262",$0,$0,"$20,619,653","$426,816"," $ 5,229,567 "
1001510001,"$16,028,892",$0,"$16,028,892",$0,"$395,307",$0,$0,"$17,220,678",$0," $ 6,182,645 "
1010190001,"$15,888,392",$0,"$15,888,392",$0,"$2,277,760",$0,$0,"$19,061,253","$209,944"," $ 4,593,434 "
1010320048,"$15,555,699","$841,056","$16,396,755",$0,$0,$0,$0,"$22,936,917","$1,001,977"," $ 8,668,069 "
2047120001,"$14,846,265",$0,"$14,846,265",$0,"$81,745",$0,$0,"$15,740,759","$483,504"," $ 11,297,538 "
1000160195,"$14,680,789",$0,"$14,680,789",$0,"$340,410",$0,$0,"$15,500,727",$0," $ 4,598,822 "
3013020001,"$13,905,341",$0,"$13,905,341",$0,$0,$0,"$727,998","$15,429,249",$0," $ 10,926,049 "
