BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
3075770001,"$157,565,248.00",$0.00,"$157,565,248.00",$0.00,$0.00,"$2,003,378.00","$160,357,828.00",$0.00,"$88,512,881.00"
1021800483,"$89,775,023.00",$0.00,"$89,775,023.00",$0.00,$0.00,$0.00,"$89,993,732.00","$3,645,553.00","$64,839,100.00"
1009720001,"$83,807,958.00","$111,697,219.00","$195,505,177.00","$569,946.00","$3,954,091.00","$864,194.00","$217,412,281.00","$21,356,045.00","$136,267,597.00"
1018260013,"$79,390,600.00",$0.00,"$79,390,600.00",$0.00,$0.00,$0.00,"$79,403,100.00","$407,500.00","$51,409,300.00"
1013060001,"$75,182,062.00","$1,583,599.00","$76,765,661.00",$0.00,$0.00,$0.00,"$88,674,489.00","$1,838,636.00","$35,382,294.00"
2033540005,"$53,977,070.00",$0.00,"$53,977,070.00",$0.00,$0.00,$0.00,"$53,977,070.00",$0.00,"$20,458,231.00"
4014300035,"$52,118,846.00",$0.00,"$52,118,846.00","$6,500,000.00",$0.00,$0.00,"$58,618,846.00","$2,160,000.00","$27,246,682.00"
1000160100,"$48,549,694.00",$0.00,"$48,549,694.00",$0.00,"$2,250,876.00",$0.00,"$52,740,813.00","$1,653,462.00","$20,864,850.00"
4013420009,"$47,728,294.00",$0.00,"$47,728,294.00",$0.00,$0.00,$0.00,"$47,728,294.00",$0.00,"$130,820.00"
1021300022,"$47,648,500.00",$0.00,"$47,648,500.00",$0.00,$0.00,$0.00,"$47,648,500.00",$0.00,"$315,026.00"
1013900009,"$46,027,200.00",$0.00,"$46,027,200.00",$0.00,$0.00,$0.00,"$46,027,200.00",$0.00,"$16,980,500.00"
4008690053,"$45,739,937.00",$0.00,"$45,739,937.00",$0.00,$0.00,$0.00,"$45,739,937.00","$10,250.00","$139,820.00"
4008690047,"$45,463,717.00",$0.00,"$45,463,717.00",$0.00,$0.00,$0.00,"$45,463,717.00","$1,014,600.00","$13,487,444.00"
4008690049,"$45,343,967.00",$0.00,"$45,343,967.00",$0.00,$0.00,$0.00,"$45,343,967.00","$525,000.00","$20,406,744.00"
4008690043,"$45,249,738.00",$0.00,"$45,249,738.00",$0.00,$0.00,$0.00,"$45,249,738.00","$675,000.00","$16,899,944.00"
4008690037,"$45,139,937.00",$0.00,"$45,139,937.00",$0.00,$0.00,$0.00,"$45,139,937.00","$1,050,000.00","$14,955,444.00"
4089300098,"$35,340,444.00",$0.00,"$35,340,444.00","$1,529,362.00",$0.00,$0.00,"$36,869,806.00",$0.00,"$28,201,261.00"
2033080008,"$33,274,029.00",$0.00,"$33,274,029.00",$0.00,$0.00,$0.00,"$33,599,029.00",$0.00,"$28,541,308.00"
4094830021,"$32,262,732.00",$0.00,"$32,262,732.00",$0.00,$0.00,$0.00,"$33,252,732.00",$0.00,"$18,452,434.00"
4088870017,"$31,206,878.00",$0.00,"$31,206,878.00",$0.00,$0.00,$0.00,"$31,206,878.00",$0.00,"$18,682,993.00"
2033000039,"$28,956,466.00",$0.00,"$28,956,466.00",$0.00,$0.00,$0.00,"$28,956,466.00",$0.00,"$10,268,721.00"
2028760163,"$26,996,200.00",$0.00,"$26,996,200.00",$0.00,$0.00,$0.00,"$26,996,200.00",$0.00,"$129,183.00"
