BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
1009720001,"$85,955,117","$109,325,531","$195,280,648","$583,733","$4,229,119",$0,"$752,167","$217,995,713","$128,826,303"
1000160100,"$49,568,318",$0,"$49,568,318",$0,"$2,015,433","$1,246,848","$432,745","$53,975,343","$18,262,638"
1001420025,"$27,204,437",$0,"$27,204,437",$0,"$5,935,806",$0,"$14,583,735","$49,831,941","$17,617,592"
1011710063,"$25,742,048",$0,"$25,742,048",$0,"$628,408",$0,$0,"$28,124,977","$9,370,605"
1009780001,"$24,356,659","$36,301,102","$60,657,761","$327,780","$1,222,081",$0,"$157,619","$65,357,700","$36,037,895"
1010680003,"$23,118,540",$0,"$23,118,540","$1,821,786","$1,245,532","$327,766",$0,"$28,298,147","$8,062,665"
1010890001,"$22,529,443",$0,"$22,529,443",$0,"$1,954,881",$0,$0,"$25,961,611","$10,464,652"
1000690018,"$22,510,976",$0,"$22,510,976",$0,"$1,106,503",$0,$0,"$24,336,304","$7,250,770"
1010891001,"$21,845,389",$0,"$21,845,389",$0,$0,$0,$0,"$23,302,315","$19,751,101"
1010891101,"$21,845,389",$0,"$21,845,389",$0,$0,$0,$0,"$23,302,315","$19,751,101"
4007130047,"$19,259,370",$0,"$19,259,370",$0,$0,$0,$0,"$19,259,370","$53,942"
1009140036,"$18,777,796",$0,"$18,777,796",$0,"$1,203,677",$0,$0,"$21,537,743","$4,592,176"
1008240011,"$18,478,614",$0,"$18,478,614",$0,"$4,196,583","$1,759,992",$0,"$26,573,599","$6,206,600"
1010210001,"$17,404,679",$0,"$17,404,679",$0,"$2,655,933",$0,$0,"$21,776,461","$6,050,176"
1011710062,"$17,231,797",$0,"$17,231,797",$0,"$1,454,555",$0,$0,"$19,843,681","$6,044,018"
1010520001,"$17,221,756",$0,"$17,221,756",$0,"$4,133,834",$0,"$30,031,671","$60,284,287","$21,427,276"
1008580008,"$15,630,611",$0,"$15,630,611",$0,"$18,000",$0,$0,"$16,594,983","$4,046,533"
3013020001,"$15,374,841",$0,"$15,374,841",$0,$0,$0,"$794,504","$16,569,456","$9,607,547"
1008071003,"$15,353,101",$0,"$15,353,101",$0,$0,$0,$0,"$15,636,999","$4,191,894"
1000160200,"$15,330,100",$0,"$15,330,100",$0,$0,$0,"$34,381","$16,376,276","$5,301,125"
1001510001,"$14,978,918",$0,"$14,978,918",$0,"$387,756",$0,$0,"$16,343,072","$5,477,086"
1016240033,"$14,958,658",$0,"$14,958,658",$0,"$164,746",$0,"$95,936","$16,683,252","$6,772,912"
1008280001,"$14,831,573","$1,961,078","$16,792,651","$1,290,289",$0,$0,$0,"$19,440,744","$5,253,566"
1000160205,"$14,382,776",$0,"$14,382,776",$0,"$73,233",$0,$0,"$14,691,957","$6,673,168"
1002530001,"$14,017,837",$0,"$14,017,837",$0,"$416,633",$0,"$1,367,905","$16,550,530","$13,128,532"
1010190001,"$14,010,405",$0,"$14,010,405",$0,"$1,882,219",$0,$0,"$17,056,610","$4,112,915"
1000160195,"$13,838,837",$0,"$13,838,837",$0,"$343,010",$0,$0,"$14,700,851","$4,355,344"
1000160210,"$12,320,405",$0,"$12,320,405",$0,"$45,472",$0,$0,"$12,621,804","$3,264,530"
1010491004,"$12,158,035",$0,"$12,158,035",$0,$0,$0,$0,"$12,918,669","$26,542,458"
1002240001,"$12,109,274",$0,"$12,109,274",$0,$0,$0,$0,"$13,108,200","$4,084,149"
1012980041,"$11,903,401",$0,"$11,903,401",$0,"$487,767",$0,$0,"$12,669,881","$3,635,504"
1015140039,"$11,852,548",$0,"$11,852,548","$314,790","$1,403,820",$0,$0,"$14,499,629","$5,749,738"
1007570022,"$11,695,793",$0,"$11,695,793",$0,"$10,578,645",$0,$0,"$26,373,094","$5,793,632"
1015630004,"$11,666,644",$0,"$11,666,644",$0,"$356,360",$0,$0,"$12,673,012","$4,169,360"
1007090031,"$11,455,524",$0,"$11,455,524",$0,"$9,146",$0,$0,"$11,895,942","$7,715,075"
1008391101,"$11,390,431",$0,"$11,390,431","$760,408","$58,500","$532,452",$0,"$13,508,658","$4,276,050"
1010840025,"$11,279,983",$0,"$11,279,983",$0,"$3,344,296",$0,"$101,421","$15,482,590","$4,765,295"
1005659021,"$10,910,982",$0,"$10,910,982",$0,$0,$0,$0,"$10,992,663","$3,434,205"
1006950015,"$10,882,727",$0,"$10,882,727",$0,"$1,130,368",$0,"$104,282","$12,265,962","$4,160,518"
1014550013,"$10,869,978",$0,"$10,869,978",$0,$0,$0,$0,"$11,195,563","$4,645,668"
2036230001,"$10,417,743",$0,"$10,417,743",$0,$0,$0,$0,"$10,981,253","$9,028,766"
1007350001,"$10,150,304",$0,"$10,150,304",$0,"$58,584",$0,$0,"$10,955,530","$2,924,329"
1008260001,"$10,146,082",$0,"$10,146,082",$0,"$1,183,236",$0,$0,"$12,075,311","$3,130,672"
1013140021,"$10,035,016",$0,"$10,035,016",$0,"$884,552",$0,$0,"$12,094,294","$4,017,214"
1010710042,"$9,891,559",$0,"$9,891,559",$0,$0,$0,$0,"$10,450,736","$3,192,829"
1000170029,"$9,876,579","$457,775","$10,334,354",$0,"$145,457",$0,$0,"$11,493,816","$4,112,336"
