BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
1002790054,"$2,869","$87,175","$90,044",,,,"$144,044","$73,433"
1004370020,,"$765,357","$765,357",,,,"$765,357","$189,505"
1013440040,"$10,367","$1,036,068","$1,046,435",,,,"$1,046,435","$304,078"
1013450122,,"$332,337","$332,337",,,,"$332,337","$184,699"
2022660005,"$199,805",,"$199,805",,"$138,597",,"$338,402","$129,288"
3003850001,,"$110,380",110380,,"$592,145",,"$702,525","$60,873"
3004490008,"$186,525",,"$186,525",,"$204,343",,"$390,868","$45,501"
3060170001,"$222,910",,"$222,910",,"$69,935",,"$292,845","$132,258"
3065590068,"$162,758",,"$162,758",,"$50,400",,"$213,158","$62,570"
3065650052,"$365,812",,"$365,812",,,,"$365,812","$179,521"
3072810177,"$295,915",,"$295,915",,,,"$295,915","$145,439"
4006340057,"$446,114",,"$446,114",,,,"$446,114","$129,948"
4006540048,"$221,852",,"$221,852",,"$40,755",,"$262,607","$154,684"
4017680061,"$175,344",,"$175,344",,,,"$175,344","$94,516"
4019860039,"$221,804",,"$221,804",,,,"$245,804","$63,772"
4019970071,"$133,932",,"$133,932","$37,800",,,"$171,732","$32,935"
4089190012,,"$12,000",12000,,"$40,645",,"$52,645","$32,634"
1003910047,,"$472,006",472006,,,,"$472,006","$221,196"
1003920042,,"$379,968",379968,,,,"$379,968","$218,234"
1003940053,"$53,605","$758,595","$812,200",,,,"$812,200","$284,849"
1004400051,,"$713,450",713450,,,,"$713,450","$170,418"
1005900021,"$62,302","$416,944","$479,246",,,,"$480,167","$113,462"
1007450049,"$53,806","$312,105","$365,911",,,,"$367,906","$86,617"
1007760004,"$61,331","$695,552","$756,883",,"$693,522",,"$1,450,405","$477,182"
1010420001,"$54,495","$154,088","$208,583",,"$537,346",,"$745,929","$206,844"
1013500035,"$19,295","$945,482","$964,777",,,,"$970,637","$304,825"
1013920067,"$146,268","$279,327","$425,595",,,,"$425,595","$150,945"
1014000016,,"$76,200",76200,,"$298,536",,"$374,536","$93,443"
1014720049,"$100,024","$96,956","$196,980",,"$184,977",,"$434,084","$146,494"
1014720050,,"$137,850",137850,,,,"$137,850","$104,596"
1014970043,"$23,554","$238,157","$261,711",,,,"$261,711","$161,527"
1015040012,"$53,268","$106,615","$159,883",,,,"$159,883","$62,410"
1015170006,"$20,689","$274,878","$295,567",,,,"$295,568","$293,278"
1015180027,"$6,865","$679,639","$686,504",,,,"$688,578","$178,983"
1015510032,"$82,875","$311,768","$394,643",,,,"$394,643","$102,983"
1015780045,"$111,336","$301,019","$412,355",,,,"$412,406","$155,647"
1015790033,"$107,619","$276,735","$384,354",,,,"$385,403","$222,512"
1015800148,"$71,637","$305,404","$377,041",,,,"$377,092","$119,921"
1015850035,"$97,458","$326,276","$423,734",,,,"$423,517","$119,977"
2027950042,"$438,336",,"$438,336",,,,"$438,336","$351,147"
2030480031,"$313,601",,"$313,601",,"$75,359",,"$388,960","$216,967"
2031730048,"$448,969",,"$448,969",,,,"$448,969","$300,624"
2032190091,"$260,197",,"$260,197",,,,"$260,197","$204,934"
2039360007,"$526,639",,"$526,639",,"$89,399",,"$616,038","$367,874"
3035210036,"$126,046",,"$126,046",,"$213,009",,"$477,944","$124,740"
3048420009,,"$21,250",21250,,"$205,846",,"$227,096","$86,508"
2028870084,"$313,696",,"$313,696",,,,"$313,696","$165,337"
2028870086,"$344,110",,"$344,110",,"$35,900",,"$380,010","$217,013"
2032180017,"$427,590",,"$427,590",,,,"$427,590","$368,102"
2046420033,"$1,178,841",,"$1,178,841",,,,"$1,178,841","$635,306"
2057070013,"$825,931",,"$825,931",,,,"$844,316","$401,868"
3018480005,,"$21,600",21600,,"$48,000",,"$69,600","$42,731"
3056850024,"$400,022",,"$400,022",,,,"$400,022","$223,993"
3063310018,"$1,192,155",,"$1,192,155",,,,"$1,192,155","$925,693"
3072980007,"$988,108",,"$988,108",,,,"$988,108","$523,365"
3077900001,"$2,392,272",,"$2,392,272",,,,"$2,469,771","$1,073,112"
3078130136,"$2,392,272",,"$2,392,272",,,,"$2,469,771","$1,073,112"
3075570001,,"$88,100",88100,,"$192,842",,"$290,724","$56,343"
3078730008,,"$12,000",12000,,,,"$12,000","$5,295"
4107830042,"$289,028",,"$289,028",,,,"$289,028","$162,118"
1003780035,"$364,037",,"$364,037",,"$213,000",,"$577,037","$141,381"
