BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES
1009720001,"$309,683,091",$0,"$309,683,091","$626,647","$6,184,696","$336,761","$343,682,030","$143,284,596"
1005590009,"$150,117,000","$646,992,300","$797,109,300","$74,250,000","$372,312,300",$0,"$1,388,863,900","$4,357,305"
1010400029,"$114,437,401","$1,283,061","$115,720,462",$0,$0,$0,"$139,412,926","$39,884,260"
3075840019,"$113,655,800",$0,"$113,655,800",$0,$0,$0,"$113,655,800","$525,214"
1006190033,"$105,907,300","$798,028,900","$903,936,200",$0,"$96,786,400",$0,"$1,034,225,400","$409,081,500"
3067820050,"$100,807,300",$0,"$100,807,300",$0,$0,$0,"$100,807,300","$321,922"
1009780001,"$99,190,531",$0,"$99,190,531","$132,876","$431,712","$30,004","$105,524,324","$50,798,673"
3065980042,"$99,149,400",$0,"$99,149,400",$0,$0,$0,"$99,149,400","$289,094"
3067670052,"$92,233,600",$0,"$92,233,600",$0,$0,$0,"$92,233,600","$300,799"
3067670059,"$76,966,000",$0,"$76,966,000",$0,$0,$0,"$76,966,000","$21,935,000"
1000160100,"$72,529,899",$0,"$72,529,899","$15,781","$2,958,341",$0,"$79,216,267","$26,126,202"
3067150042,"$53,138,900",$0,"$53,138,900",$0,$0,$0,"$53,138,900","$23,998,200"
3067000009,"$45,964,100",$0,"$45,964,100",$0,$0,$0,"$45,964,100","$14,518,600"
1010891102,"$44,499,139",$0,"$44,499,139",$0,"$1,207,196",$0,"$47,687,652","$19,137,918"
1010891102,"$44,499,139",$0,"$44,499,139",$0,"$1,207,196",$0,"$47,687,652","$19,137,918"
1010891102,"$44,499,139",$0,"$44,499,139",$0,"$1,207,196",$0,"$47,687,652","$19,137,918"
1010890001,"$33,985,870",$0,"$33,985,870",$0,"$2,253,252",$0,"$38,598,024","$15,569,211"
1015090006,"$32,196,900","$226,384,600","$258,581,500","$50,554,600",$0,$0,"$314,902,800","$127,831,900"
3058550016,"$31,084,494",$0,"$31,084,494",$0,$0,$0,"$31,084,494","$268,033"
1000690018,"$30,475,542",$0,"$30,475,542",$0,"$1,418,476",$0,"$32,774,430","$6,629,691"
1012100012,"$30,083,600","$281,242,100","$311,325,700","$8,959,000",$0,$0,"$321,895,200","$210,130,300"
1010511109,"$28,178,919",$0,"$28,178,919",$0,"$766,149",$0,"$32,530,716","$12,333,273"
4002640001,"$27,637,933",$0,"$27,637,933",$0,"$36,417",$0,"$28,274,183","$10,722,008"
4158100001,"$27,268,548",$0,"$27,268,548","$769,844","$7,950","$29,215","$29,845,889","$25,509,744"
4158100001,"$27,268,548",$0,"$27,268,548","$769,844","$7,950","$29,215","$29,845,889","$25,509,744"
4158100001,"$27,268,548",$0,"$27,268,548","$769,844","$7,950","$29,215","$29,845,889","$25,509,744"
4158100001,"$27,268,548",$0,"$27,268,548","$769,844","$7,950","$29,215","$29,845,889","$25,509,744"
4158100001,"$27,268,548",$0,"$27,268,548","$769,844","$7,950","$29,215","$29,845,889","$25,509,744"
1010731001,"$26,617,185",$0,"$26,617,185",$0,"$650,000",$0,"$28,896,749","$7,192,002"
1000750001,"$26,605,503",$0,"$26,605,503",$0,"$1,939,236",$0,"$29,531,835","$12,115,287"
1011712804,"$25,015,621",$0,"$25,015,621",$0,$0,$0,"$25,900,479","$9,742,028"
1014840016,"$22,745,574","$2,037,247","$24,782,821",$0,$0,$0,"$26,363,410","$9,352,293"
2047120001,"$22,086,270",$0,"$22,086,270",$0,"$60,698","$741,436","$23,201,722","$12,959,183"
1001610001,"$21,561,380",$0,"$21,561,380",$0,"$519,000",$0,"$23,195,068","$7,138,154"
1010520001,"$21,447,845",$0,"$21,447,845",$0,"$6,636,002","$46,811,731","$84,156,648","$25,760,631"
1008270001,"$21,360,329",$0,"$21,360,329",$0,"$2,428,443",$0,"$25,080,954","$5,834,423"
1018521101,"$20,918,996",$0,"$20,918,996",$0,$0,$0,"$21,704,127","$6,165,426"
1000160016,"$20,744,418",$0,"$20,744,418",$0,$0,$0,"$21,974,180","$6,275,134"
4002640017,"$20,669,166",$0,"$20,669,166",$0,"$194,244",$0,"$21,380,148","$9,880,154"
4066790006,"$20,158,052","$721,521","$20,879,573",$0,"$31,750","$470,299","$21,929,614","$10,212,622"
4066790006,"$20,158,052","$721,521","$20,879,573",$0,"$31,750","$470,299","$21,929,614","$10,212,622"
4066790006,"$20,158,052","$721,521","$20,879,573",$0,"$31,750","$470,299","$21,929,614","$10,212,622"
4066790006,"$20,158,052","$721,521","$20,879,573",$0,"$31,750","$470,299","$21,929,614","$10,212,622"
4066790006,"$20,158,052","$721,521","$20,879,573","$31,750",$0,"$470,299","$21,929,614","$10,212,622"
4066790006,"$20,158,052","$721,521","$20,879,573",$0,"$31,750","$470,299","$21,929,614","$10,212,622"
4066790006,"$20,158,052","$721,521","$20,879,573",$0,"$31,750","$470,299","$21,929,614","$10,212,622"
4066790006,"$20,158,052","$721,521","$20,879,573",$0,"$31,750","$470,299","$21,929,614","$10,212,622"
4066790006,"$20,158,052","$721,521","$20,879,573",$0,"$31,750","$470,299","$21,929,614","$10,212,622"
4066790006,"$20,158,052","$721,521","$20,879,573",$0,"$31,750","$470,299","$21,929,614","$10,212,622"
4066790006,"$20,158,052","$721,521","$20,879,573",$0,"$31,750","$470,299","$21,929,614","$10,212,622"
4066790006,"$20,158,052","$721,521","$20,879,573",$0,"$31,750","$470,299","$21,929,614","$10,212,622"
3021071001,"$20,129,601",$0,"$20,129,601","$6,913","$800,000",$0,"$22,186,757","$7,104,107"
4002630009,"$20,026,173",$0,"$20,026,173",$0,$0,$0,"$20,513,108","$9,047,593"
1008051106,"$19,637,015",$0,"$19,637,015",$0,$0,$0,"$20,033,039","$3,247,956"
1015381101,"$19,447,834",$0,"$19,447,834",$0,"$2,356,000",$0,"$22,476,791","$5,368,443"
1008071003,"$19,328,183",$0,"$19,328,183",$0,$0,$0,"$19,599,493","$6,141,482"
1011581701,"$19,295,080",$0,"$19,295,080","$810,243","$776,798",$0,"$22,357,475","$7,597,848"
1009020022,"$19,196,352","$74,046,000","$93,242,352",$0,$0,$0,"$93,242,352","$230,685"
1001730027,"$18,523,081",$0,"$18,523,081",$0,"$724,816",$0,"$19,959,038","$4,620,357"
1010821005,"$18,484,682",$0,"$18,484,682",$0,"$842,571",$0,"$20,247,735","$5,686,180"
1010811130,"$18,334,208",$0,"$18,334,208",$0,$0,$0,"$18,873,581","$5,899,951"
1008071103,"$18,161,658",$0,"$18,161,658",$0,$0,$0,"$18,400,314","$3,961,012"
4004220007,"$17,972,642",$0,"$17,972,642",$0,"$130,030",$0,"$18,667,829","$5,875,505"
1007011101,"$17,928,906",$0,"$17,928,906",$0,$0,$0,"$18,658,105","$5,273,562"
1008571201,"$17,767,119",$0,"$17,767,119",$0,"$799,500",$0,"$18,981,438","$3,692,149"
4008940050,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4006940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
4008940030,"$17,737,131",$0,"$17,737,131",$0,$0,$0,"$18,209,287","$7,503,955"
