ViolationID,BuildingID,RegistrationID,BoroID,Borough,HouseNumber,LowHouseNumber,HighHouseNumber,StreetName,StreetCode,Postcode,Apartment,Story,Block,Lot,Class,InspectionDate,ApprovedDate,OriginalCertifyByDate,OriginalCorrectByDate,NewCertifyByDate,NewCorrectByDate,CertifiedDate,OrderNumber,NOVID,NOVDescription,NOVIssuedDate,CurrentStatusID,CurrentStatus,CurrentStatusDate,NovType,ViolationStatus,RentImpairing,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
15183291,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,2B,2,2794,49,C,05/26/2022,05/27/2022,07/01/2022,06/26/2022,,,,569,7923147,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 2B, 2nd STORY, 2nd APARTMENT FROM EAST AT SOUTH",05/31/2022,47,NOTICE OF ISSUANCE SENT TO TENANT,05/31/2022,Original,Open,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
15183292,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,2B,2,2794,49,C,05/26/2022,05/27/2022,07/01/2022,06/26/2022,,,,568,7923147,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 2B, 2nd STORY, 2nd APARTMENT FROM EAST AT SOUTH",05/31/2022,47,NOTICE OF ISSUANCE SENT TO TENANT,05/31/2022,Original,Open,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
13737518,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,APT5F,5,2794,49,C,07/22/2020,07/22/2020,08/23/2020,08/18/2020,,,08/07/2020,569,6911849,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT APT5F, 5th STORY, 2nd APARTMENT FROM WEST AT NORTH",07/23/2020,21,NOT COMPLIED WITH,09/04/2020,Original,Open,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12232648,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,,,2794,49,C,02/08/2018,02/09/2018,03/17/2018,03/12/2018,,,,791,6013493,SECTION 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) THROUGHOUT THE PUBLIC AREAS IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. AT PUBLIC HALL STAIRS,02/12/2018,19,VIOLATION CLOSED,04/23/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12388270,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,,Basement,2794,49,C,05/16/2018,05/17/2018,05/31/2018,05/26/2018,,,,552,6093089,"SECTION 27-2010, 2011, 2012 ADM CODE REMOVE THE ACCUMULATION OF REFUSE AND/OR RUBBISH AND MAINTAIN IN A CLEAN CONDITION THE HOUSEHOLD ITEMS AT BASEMENT",05/18/2018,19,VIOLATION CLOSED,06/01/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12943082,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,,2,2794,49,C,03/04/2019,03/07/2019,03/21/2019,03/16/2019,,,03/15/2019,510,6414880,"SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF DISCARTED STOVE WITH DOORS INTAC AT PUBLIC HALL, 2nd STORY",03/08/2019,9,VIOLATION DISMISSED,05/28/2019,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
13331997,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,4B,4,2794,49,C,10/07/2019,10/09/2019,11/12/2019,11/07/2019,11/26/2019,11/21/2019,11/21/2019,617,6631230,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st WINDOW FRAME FROM SOUTH AT WEST WALL IN THE 4th ROOM FROM EAST LOCATED AT APT 4B, 4th STORY, 2nd APARTMENT FROM EAST AT SOUTH",10/10/2019,19,VIOLATION CLOSED,02/28/2020,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
13548517,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,2,1,2794,49,C,01/13/2020,01/14/2020,01/28/2020,01/23/2020,,,01/24/2020,502,6792600,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR AT RADIATOR IN THE 3rd ROOM FROM EAST LOCATED AT APT 2, 1st STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION ''#178''",01/15/2020,9,VIOLATION DISMISSED,04/06/2020,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
13737775,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,APT5F,5,2794,49,C,07/22/2020,07/22/2020,08/21/2020,08/16/2020,09/04/2020,08/30/2020,08/12/2020,617,6911848,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st CLOSET FROM WEST AT NORTH WALL DOOR FRAME IN THE 1st PRIVATE HALLWAY LOCATED AT APT APT5F, 5th STORY, 2nd APARTMENT FROM WEST AT NORTH",07/23/2020,19,VIOLATION CLOSED,08/25/2020,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
13786212,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5F,5,2794,49,C,08/25/2020,08/25/2020,09/26/2020,09/21/2020,,,,568,6939410,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 5F, 5th STORY, 2nd APARTMENT FROM WEST AT NORTH",08/26/2020,21,NOT COMPLIED WITH,03/13/2023,Original,Open,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
