,BuildingID,ViolationID
1606,111945,647
54234,94506,574
22259,344337,566
16240,28946,546
40059,64592,519
22696,347221,493
7664,183906,478
40581,65537,472
45195,77561,450
19879,324060,441
2029,115582,437
34599,50369,436
22877,347783,433
30068,41883,432
20271,327259,426
37364,570984,424
48511,81696,402
45201,77585,400
46726,806375,396
1088,108628,396
14668,27351,388
1428,110409,387
37787,5836,380
40225,648751,379
19917,324278,371
2831,119285,366
39981,64403,366
37791,58374,365
2068,115724,365
47250,808252,356
36142,53790,355
1620,111964,354
138,100437,353
953,107768,352
13650,256026,350
20082,326090,348
38540,60536,347
35513,520396,343
18408,309623,341
29406,40940,340
13797,258700,340
10917,220110,339
52436,90955,339
2719,119028,334
13851,25930,332
47365,808705,328
40511,65392,325
1616,111958,324
2328,116943,321
34889,51000,321
23389,351510,320
40099,64641,319
32659,45417,319
53105,92783,317
28478,39554,315
48660,81866,315
1223,109435,314
41090,66279,310
33556,47557,308
12136,23149,306
15930,287492,306
31936,43682,306
32690,45454,304
3001,120425,303
277,101342,303
13849,25929,302
26844,377800,298
33736,48170,298
42303,680758,298
40058,64591,295
3644,125695,294
48517,81701,293
38503,60491,289
22682,347202,288
11829,228613,288
40890,66004,287
20080,326066,285
49350,83716,285
28748,397356,285
14385,269424,284
57,100178,282
21486,338089,282
35293,516679,280
2779,119128,279
1054,108500,279
20234,327072,278
26351,374993,277
31254,43050,277
3327,122197,277
19882,324068,276
32568,45126,275
37685,5801,275
31061,42879,275
29081,40187,273
24201,357770,269
9515,208141,269
133,100414,268
38467,60439,268
17020,297545,267
48389,8149,267
37993,59160,267
2759,119091,266
7663,183905,263
18578,311581,263
765,105950,261
44342,73453,261
54174,94400,261
16080,287885,261
22837,347736,261
28681,396947,261
20446,328555,260
3925,129026,257
29974,4175,257
39113,62816,256
55425,96771,256
13564,25387,255
21748,340051,254
23909,355453,254
25257,366318,254
3642,125691,254
31058,42878,253
1632,111995,253
10729,218719,253
16057,287820,252
34589,5036,252
48285,812539,251
31372,43157,250
8074,188348,250
38930,6206,249
8004,187561,249
19275,317673,249
5819,153316,248
40625,65593,247
3637,125682,247
1913,114475,247
48513,81698,246
24280,3583,246
9300,205866,245
37858,5873,245
29749,41488,244
865,107097,243
44484,73965,243
47054,807595,242
9360,20629,242
792,106302,242
50444,87218,241
51306,88745,241
44177,72228,241
1915,114477,240
48665,81870,240
51371,88882,240
13401,250417,240
12749,24083,239
3142,121007,239
20485,329071,238
16358,290284,237
37655,5790,237
49915,85468,236
35369,51791,236
47693,809859,236
9972,212440,236
15719,284627,236
37148,56597,236
22660,347170,236
15521,28340,235
15934,287504,234
48566,81746,231
40751,65791,231
49981,85566,231
48144,811681,231
45694,79270,230
25180,364921,230
29111,403081,230
31104,42924,229
31069,42882,229
38407,60275,229
38319,60058,229
48353,81436,229
56022,97608,228
20521,329403,228
10686,21848,228
